#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Diffuse reflectance centre)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Total reflectance edge major)	Wavelength [nm]	QE[-] (JE813 inverted ARC_Diffuse reflectance edge major)	
470	0.98128	470	0.0505266058542897	470	0.0159857440982518	470	0.0442492859665387	470	0.0159997560197072	
475	0.9814	475	0.0714563881555876	475	0.0184736564461784	475	0.0475778662366436	475	0.0198679110708472	
480	0.98152	480	0.0727446070827894	480	0.02223447966013	480	0.0575908953098653	480	0.0244946088574927	
485	0.98164	485	0.0571766913789816	485	0.0226653922265138	485	0.0744303812237367	485	0.0247928033806918	
490	0.98176	490	0.0546254515849549	490	0.027893416733553	490	0.0837375521856207	490	0.0306568458200236	
495	0.98188	495	0.0781522076311375	495	0.0318789397936513	495	0.080858202599879	495	0.0333509773175794	
500	0.982	500	0.109667263336476	500	0.0349649459429868	500	0.0732774019516881	500	0.0384882414920996	
505	0.98205	505	0.117797128520713	505	0.0371363159861761	505	0.0754184550242699	505	0.0421582330501402	
510	0.9821	510	0.0995463184298112	510	0.0404363193069538	510	0.0966990661393625	510	0.048674004965629	
515	0.98215	515	0.0795617809371975	515	0.046396606964769	515	0.117866167319891	515	0.0512442578711759	
520	0.9822	520	0.0837803819145536	520	0.0506499939168237	520	0.130834917913041	520	0.055446054010921	
525	0.98225	525	0.113678304604271	525	0.0536735399055488	525	0.127980602683773	525	0.0593405814150245	
530	0.9823	530	0.14973839844164	530	0.0580124107579899	530	0.112804997299284	530	0.066152242789487	
535	0.98235	535	0.169719728281267	535	0.0595424171387608	535	0.1039140108646	535	0.0766714788110764	
540	0.9824	540	0.164752534749269	540	0.0650778183590484	540	0.109055695278387	540	0.0813133041999271	
545	0.98245	545	0.14392955860354	545	0.0719816153176628	545	0.13177647337226	545	0.0865045782358098	
550	0.9825	550	0.131397727440959	550	0.0798226386991353	550	0.161042169455676	550	0.0896472835974408	
555	0.98258	555	0.140505800484947	555	0.0857378691861617	555	0.181174213943979	555	0.0916710927431413	
560	0.98266	560	0.174749700460565	560	0.0888130555462014	560	0.189458436744709	560	0.0970215091285013	
565	0.98274	565	0.219692899848224	565	0.0895803332081352	565	0.183203327488069	565	0.10398206621868	
570	0.98282	570	0.252751630589948	570	0.088612811544192	570	0.171319088800798	570	0.113548154557732	
575	0.9829	575	0.268071470801448	575	0.090247656616021	575	0.164883828250989	575	0.124680120076097	
580	0.98298	580	0.261573081524433	580	0.0934551577223974	580	0.173535456087252	580	0.132679929964303	
585	0.98306	585	0.244594447271487	585	0.1016289944647	585	0.195759415128749	585	0.140420055398489	
590	0.98314	590	0.221467194775556	590	0.112694018988535	590	0.228310676559123	590	0.143618827881371	
595	0.98322	595	0.210577611421289	595	0.123901949725356	595	0.264195012794363	595	0.145607249021496	
600	0.9833	600	0.221164314191674	600	0.134822659183036	600	0.291935653018815	600	0.146464636071831	
605	0.98322	605	0.251638978710059	605	0.141443995414617	605	0.310205925452601	605	0.147204308178917	
610	0.98314	610	0.297465038914119	610	0.145120451910042	610	0.320503320443391	610	0.15351749924674	
615	0.98306	615	0.34545812504864	615	0.147311816478585	615	0.321164720350939	615	0.163882182556389	
620	0.98298	620	0.390917014050582	620	0.147672192865939	620	0.322056789274065	620	0.182246035226901	
625	0.9829	625	0.426082726032873	625	0.150985705070452	625	0.327073216588859	625	0.20535821699286	
630	0.98282	630	0.452394344249913	630	0.155686787577924	630	0.337804137455441	630	0.233150102966953	
635	0.98274	635	0.466763007438703	635	0.163277732797546	635	0.35716481128056	635	0.258404755280344	
640	0.98266	640	0.472698524804991	640	0.176498639574131	640	0.383393141065124	640	0.277502756841169	
