#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	QE[-] (JE813 inverted noARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE813 inverted noARC_Diffuse reflectance centre)	Wavelength [nm]	QE[-] (JE813 inverted noARC_Total reflectance edge major)	Wavelength [nm]	QE[-] (JE813 inverted noARC_Diffuse reflectance edge major)	
715	0.98271	715	0.776825590160901	715	0.348628535833629	715	0.821875499441665	715	0.534399530864857	
720	0.98268	720	0.73968771346271	720	0.476069445460998	720	0.84873789172451	720	0.418303378298118	
725	0.98265	725	0.734433135234291	725	0.551673767458929	725	0.872992386562403	725	0.304228658179822	
730	0.98262	730	0.765815666644823	730	0.539855385009786	730	0.891899208131345	730	0.215814018270733	
735	0.98259	735	0.810736912299594	735	0.465046309805644	735	0.902494060121822	735	0.155756639122671	
740	0.98256	740	0.850626882095188	740	0.372617611778383	740	0.907671817786313	740	0.115406769352553	
745	0.98253	745	0.878950088434881	745	0.293613542081262	745	0.910577514221929	745	0.0916344964881799	
750	0.9825	750	0.896706885563513	750	0.23572252376116	750	0.909024324294406	750	0.0786147422649693	
755	0.98258	755	0.90781222309572	755	0.191963212678459	755	0.90630627859023	755	0.0755078084847449	
760	0.98266	760	0.914169298417112	760	0.161345905543449	760	0.902305182370488	760	0.080884260180116	
765	0.98274	765	0.917381027458769	765	0.138797647965516	765	0.896578584108344	765	0.0981281650176446	
770	0.98282	770	0.920013409697588	770	0.123985236935695	770	0.894045790355652	770	0.134745518924474	
775	0.9829	775	0.920774511508646	775	0.114106484403609	775	0.890821870028738	775	0.199789077145431	
780	0.98298	780	0.921716343921515	780	0.110607824308342	780	0.887648610865708	780	0.301052178005592	
785	0.98306	785	0.923856729415533	785	0.112773981830205	785	0.884766551122228	785	0.434578893707254	
790	0.98314	790	0.924643970030742	790	0.125531421321256	790	0.883203301712835	790	0.575134769942605	
795	0.98322	795	0.92657706475824	795	0.15175839522338	795	0.878953525852531	795	0.6808579328925	
800	0.9833	800	0.92661241909026	800	0.201038984565827	800	0.877887311397947	800	0.727459327590691	
805	0.9832	805	0.926223543037766	805	0.286914163509553	805	0.880000864886714	805	0.703945453208657	
810	0.9831	810	0.920479173144231	810	0.406870312842663	810	0.883011423871249	810	0.619608577904233	
815	0.983	815	0.909575032430505	815	0.542382834436067	815	0.89218817666855	815	0.507241751248216	
820	0.9829	820	0.903326876679444	820	0.647622668478787	820	0.90229161890291	820	0.396035684530368	
825	0.9828	825	0.900337084496985	825	0.678292464874453	825	0.908976129417535	825	0.301038211767217	
830	0.9827	830	0.900621829778167	830	0.632342762133594	830	0.91493868375579	830	0.225115028421557	
835	0.9826	835	0.90808017158843	835	0.551108763251929	835	0.920603401615326	835	0.171764764271541	
840	0.9825	840	0.912496653581207	840	0.459146074788751	840	0.921859385333315	840	0.134630369614658	
845	0.9824	845	0.91906236750643	845	0.378716596847641	845	0.925498554170393	845	0.108695848501886	
850	0.9823	850	0.92176824977265	850	0.315663426969951	850	0.926250016928835	850	0.0900546718865013	
855	0.98232	855	0.924507980250749	855	0.265428646070939	855	0.924852030430817	855	0.0803908967600884	
860	0.98234	860	0.926671330817079	860	0.225945483890996	860	0.927082030415292	860	0.0743622276043259	
865	0.98236	865	0.928686325292039	865	0.197680940868797	865	0.928473493011931	865	0.0694550460594824	
870	0.98238	870	0.926994000332252	870	0.173325219376359	870	0.925332895129881	870	0.0711728848806515	
875	0.9824	875	0.926466825420773	875	0.153490593263122	875	0.924885661495486	875	0.0757648725969793	
880	0.98242	880	0.926768538112533	880	0.140093247316292	880	0.923962129373625	880	0.083945087770926	
885	0.98244	885	0.925558398424533	885	0.129106451552239	885	0.921332524303242	885	0.0980380691271392	
890	0.98246	890	0.926785214983713	890	0.121027625251482	890	0.920562915099331	890	0.121742913353002	
895	0.98248	895	0.924876714854506	895	0.116124160997808	895	0.9190381639328	895	0.157633366676905	
900	0.9825	900	0.922991871834505	900	0.114274816932688	900	0.916630818571272	900	0.20829638542083	
905	0.98257	905	0.923704635161562	905	0.115154297766463	905	0.913669466125419	905	0.278863239754778	
910	0.98264	910	0.921440941978831	910	0.121462838164897	910	0.908871489437221	910	0.372251967210325	
915	0.98271	915	0.922375770944955	915	0.13345429337277	915	0.904410121112345	915	0.471425104489406	
920	0.98278	920	0.922671471229947	920	0.153086110747219	920	0.898472663820119	920	0.56996018310574	
925	0.98285	925	0.920857909682403	925	0.185514697619042	925	0.888302132994858	925	0.646691002434617	
930	0.98292	930	0.921942306829564	930	0.232196904257531	930	0.883479320651005	930	0.687353470682315	
935	0.98299	935	0.921294686098935	935	0.295855772819396	935	0.879718881080187	935	0.686114358042167	
940	0.98306	940	0.917403187038001	940	0.382236395789972	940	0.876989360967668	940	0.644830372001713	
945	0.98313	945	0.912536691851746	945	0.481724483024738	945	0.880189902050434	945	0.573097741950986	
950	0.9832	950	0.907744428498504	950	0.569857751979392	950	0.8869268099965	950	0.489439339953058	
955	0.98316	955	0.902735499546335	955	0.623408788994269	955	0.89004565323368	955	0.407004792309144	
960	0.98312	960	0.903653301960998	960	0.642812705226473	960	0.898644437327608	960	0.333147226813103	
965	0.98308	965	0.903989084742436	965	0.620243169360032	965	0.901049212308266	965	0.271080558053642	
970	0.98304	970	0.904397644684237	970	0.574310464828526	970	0.904788165957285	970	0.22279520989879	
975	0.983	975	0.907707134328155	975	0.518156434736017	975	0.909068186083197	975	0.183879422156448	
980	0.98296	980	0.912492094492286	980	0.456569370865657	980	0.911212448908236	980	0.152424671183346	
985	0.98292	985	0.914704554732436	985	0.401513871934485	985	0.913074434444191	985	0.131164927388327	
990	0.98288	990	0.914517842247732	990	0.352921217882216	990	0.913835254743564	990	0.112728181724417	
995	0.98284	995	0.917323069894901	995	0.308273032244267	995	0.915096038968614	995	0.0991439179635988	
1000	0.9828	1000	0.919536191909381	1000	0.272956239243745	1000	0.916325191731535	1000	0.0889873207108363	
1005	0.98269	1005	0.918685750726375	1005	0.243991217011491	1005	0.9171950946143	1005	0.0813717175269928	
1010	0.98258	1010	0.919312204123405	1010	0.216786166826822	1010	0.9152619904532	1010	0.0761444333247397	
1015	0.98247	1015	0.919440778760671	1015	0.195259493386192	1015	0.915803659957955	1015	0.072162182433728	
1020	0.98236	1020	0.919493800867641	1020	0.179198480754378	1020	0.916609698727408	1020	0.0699845489988867	
1025	0.98225	1025	0.921329269691271	1025	0.163374861521769	1025	0.916215406240115	1025	0.0704410347819036	
1030	0.98214	1030	0.917681383420686	1030	0.150026730905199	1030	0.914185077826133	1030	0.0677234719449176	
1035	0.98203	1035	0.917108906718261	1035	0.140780975339965	1035	0.912822507610146	1035	0.0689558660334241	
1040	0.98192	1040	0.917466337759536	1040	0.131567557997711	1040	0.913539000727782	1040	0.0720157965026226	
1045	0.98181	1045	0.915529317884594	1045	0.122200857735042	1045	0.90993818637597	1045	0.0761067299550513	
1050	0.9817	1050	0.916838456688634	1050	0.119270813966513	1050	0.911893807334737	1050	0.0809442746418062	
1055	0.98167	1055	0.915224703060534	1055	0.112996685325449	1055	0.910761589395749	1055	0.0917784265277351	
1060	0.98164	1060	0.916382542313059	1060	0.110145176980725	1060	0.906179491594366	1060	0.101398625435054	
1065	0.98161	1065	0.915740054287591	1065	0.107719310530762	1065	0.912263431647258	1065	0.11913832339398	
1070	0.98158	1070	0.911237399502675	1070	0.105730029817516	1070	0.908862655850887	1070	0.137974482072875	
1075	0.98155	1075	0.915207809847748	1075	0.105032455727469	1075	0.902427673679228	1075	0.16542345089852	
1080	0.98152	1080	0.913379905522356	1080	0.105401272852849	1080	0.90782390355461	1080	0.202422251101124	
1085	0.98149	1085	0.907031666179052	1085	0.114618623718069	1085	0.90400312034938	1085	0.246327315340463	
1090	0.98146	1090	0.9097986124704	1090	0.124264536634916	1090	0.903821798167449	1090	0.296404169338321	
1095	0.98143	1095	0.834302207870481	1095	0.116629954717465	1095	0.828708933673608	1095	0.328058527180855	
1100	0.9814	1100	0.900427830196187	1100	0.155477896460031	1100	0.887858704438264	1100	0.419651054256112	
