#ReRa Photor SR measurement
Wavelength [nm]	SR[A/W] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Total reflectance centre)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Diffuse reflectance centre)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Total reflectance edge major)	Wavelength [nm]	SR[A/W] (JE795 inverted ARC_Diffuse reflectance edge major)	
420	0.331750670289294	420	0.00593038151066348	420	0.00175091541662976	420	0.0169174202772151	420	0.00189832253661101	
425	0.335782349020794	425	0.00647555061460499	425	0.00179404093234293	425	0.0180546416803247	425	0.00180882299080399	
430	0.339815963422645	430	0.00685920191692412	430	0.00180936130411339	430	0.0187419457609356	430	0.00176961852746252	
435	0.343851513494849	435	0.00745095475556592	435	0.00181931689788731	435	0.0189195359589601	435	0.00189989730891289	
440	0.347888999237404	440	0.00819684584913367	440	0.00201268422753394	440	0.0191977517898061	440	0.00190608884981829	
445	0.351928420650311	445	0.00929409333335164	445	0.00219497979814216	445	0.0198920607512953	445	0.00210227692278979	
450	0.355969777733571	450	0.0109206078086308	450	0.00266023198831587	450	0.0211974603461221	450	0.00250075334281797	
455	0.359969033986674	455	0.0121280046821713	455	0.00420182502998638	455	0.0225197440503654	455	0.00289147914822218	
460	0.363969258074953	460	0.0155277334865016	460	0.00424002966346728	460	0.023492118207218	460	0.0042821109692292	
465	0.367970449998409	465	0.0174345534958555	465	0.00483187317204507	465	0.0251958577432229	465	0.00485771669486698	
470	0.37197260975704	470	0.0190395384314638	470	0.00518185002256997	470	0.028441704289498	470	0.00500219505456321	
475	0.375975737350847	475	0.0205321627230053	475	0.00705329578440625	475	0.0314272369271079	475	0.00579748976220551	
480	0.379979832779831	480	0.023722751009083	480	0.00746856129920135	480	0.0334268668009956	480	0.00714875616811425	
485	0.38398489604399	485	0.0265040012850138	485	0.00885080429459224	485	0.0341509984351564	485	0.00825436368427407	
490	0.387990927143325	490	0.0284925816919413	490	0.0100252317376774	490	0.0339691598059746	490	0.00928925817301625	
495	0.391997926077837	495	0.0289376731396341	495	0.0115198372977663	495	0.0347831283849085	495	0.0112141542849613	
