#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (JE795 inverted noARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE795 inverted noARC_Diffuse reflectance centre)	Wavelength [nm]	QE[-] (JE795 inverted noARC_Total reflectance edge major)	Wavelength [nm]	QE[-] (JE795 inverted noARC_Diffuse reflectance edge major)	
510	0.333486116337987	510	0.0233458187319023	510	0.354857529958031	510	0.0251198013773661	
515	0.344061675669843	515	0.0265642550131129	515	0.354054744935121	515	0.0257490626290052	
520	0.352928609654623	520	0.0282708904194728	520	0.348133143282069	520	0.0296497318238048	
525	0.357923242088979	525	0.0299427092208166	525	0.337439887887302	525	0.032329956953243	
530	0.356038224338727	530	0.0340828140698135	530	0.326990569849685	530	0.0375144534505553	
535	0.345272771270892	535	0.0352136507762192	535	0.325997563034416	535	0.0392805247013578	
540	0.337622902441929	540	0.0399947037362	540	0.332611571557884	540	0.0428962130957828	
545	0.333346239017856	545	0.0440934792371451	545	0.347427720532327	545	0.0443451677410756	
550	0.340785697891951	550	0.0451280073035319	550	0.365908709504575	550	0.0455890490867303	
555	0.356092915221743	555	0.0485664652862016	555	0.381501028774132	555	0.0485729470238086	
560	0.372065664395482	560	0.0488880767720423	560	0.392252105748681	560	0.0488149897508089	
565	0.391987870429532	565	0.0494259723837952	565	0.397654715585781	565	0.052760848815815	
570	0.406816023036327	570	0.0493405779587674	570	0.395471420240809	570	0.0556106275074684	
575	0.416711018743536	575	0.0525599712169487	575	0.3862369788208	575	0.0621017913212835	
580	0.417428216752152	580	0.0558028311425536	580	0.375575189913776	580	0.0662542705210608	
585	0.411735332244168	585	0.0606281471564123	585	0.368056334537481	585	0.0723006134908126	
590	0.399237346251564	590	0.0662551891166887	590	0.371313282549678	590	0.0756301576166294	
595	0.386151519513109	595	0.0732907817529324	595	0.380561392548695	595	0.0796477367742285	
600	0.379643695890944	600	0.0801954442829024	600	0.394747813224334	600	0.0826426028917088	
605	0.380373896596966	605	0.0849830708095954	605	0.411409141764056	605	0.0847671740544528	
610	0.389684159170938	610	0.089750712218967	610	0.426646350836852	610	0.0867943270599516	
615	0.403198752465448	615	0.0925816685174453	615	0.443210231132364	615	0.0900300266182493	
620	0.420391348551071	620	0.0965862334665492	620	0.459035801753854	620	0.0956468465147282	
625	0.439938918283383	625	0.101494274448776	625	0.470616120158224	625	0.100565709170224	
630	0.460022909065803	630	0.104633582539353	630	0.483098165260741	630	0.109688327428767	
635	0.481135655681832	635	0.110582198984511	635	0.491562171625351	635	0.119929478103637	
640	0.49547519776748	640	0.116067175204865	640	0.493190329047325	640	0.131403077290085	
645	0.508844495118608	645	0.122418933096391	645	0.490707684646632	645	0.149981502619872	
650	0.517337187084532	650	0.132740430883338	650	0.484350419036556	650	0.170264181608754	
655	0.521193154169839	655	0.148639422521166	655	0.481982875765616	655	0.197789964083901	
660	0.536470469635773	660	0.182140383162154	660	0.502429794957231	660	0.240600183327555	
665	0.562800233084245	665	0.238383873870283	665	0.5520083270199	665	0.296421241009283	
670	0.592857087329821	670	0.300352076448411	670	0.609801272528391	670	0.345078621369613	
675	0.616499547659309	675	0.350193298038975	675	0.655118217769533	675	0.370735587034039	
680	0.63093282361917	680	0.376468595675303	680	0.681968398150636	680	0.376385933535538	
685	0.644968560171338	685	0.386070291713011	685	0.700611326102619	685	0.37239599586876	
690	0.656259602701776	690	0.38206870272783	690	0.711110457013589	690	0.364863970933411	
695	0.668222150178013	695	0.371828953553184	695	0.72131061805802	695	0.356514938449514	
700	0.67598440512217	700	0.358375440427167	700	0.729102739108584	700	0.347556532481803	
705	0.683867337146233	705	0.342982420027341	705	0.734153469622699	705	0.342570516648287	
710	0.691199699156542	710	0.330496459512285	710	0.742046378065216	710	0.335251017336024	
715	0.697772517946571	715	0.31828098251968	715	0.745829866012584	715	0.331821152477324	
720	0.705690317327471	720	0.308566323053863	720	0.751465548275515	720	0.331218846780111	
725	0.71147166119962	725	0.300683609672535	725	0.754426673320313	725	0.333593228866745	
730	0.715603863917038	730	0.294979727615921	730	0.757562612872656	730	0.34282522740404	
735	0.720162419981634	735	0.293109907259973	735	0.759250599683824	735	0.358065382642265	
