#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	QE[-] (JE794 inverted noARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE794 inverted noARC_Diffuse reflectance centre)	Wavelength [nm]	QE[-] (JE794 inverted noARC_Total reflectance edge major)	Wavelength [nm]	QE[-] (JE794 inverted noARC_Diffuse reflectance edge major)	
475	0.9814	475	0.331982239297142	475	0.0101547196527791	475	0.37648231690383	475	0.00833387797447759	
480	0.98152	480	0.331137562165213	480	0.00905097767169569	480	0.371130821439094	480	0.00651572231431132	
485	0.98164	485	0.356426182037632	485	0.0094840888853483	485	0.342774530176754	485	0.0109385914648143	
490	0.98176	490	0.384285603834695	490	0.00989572636232958	490	0.318517792593565	490	0.0115083671396734	
495	0.98188	495	0.393831959778216	495	0.0113747463089272	495	0.321071893361902	495	0.0111731601046884	
500	0.982	500	0.36584168395333	500	0.0134514537433227	500	0.347525310063045	500	0.0123116285554476	
505	0.98205	505	0.315875387170004	505	0.015993346777914	505	0.382786361303487	505	0.0121426863835006	
510	0.9821	510	0.28025481606833	510	0.0168739108498835	510	0.399219722875022	510	0.0129462780507562	
515	0.98215	515	0.282890659613298	515	0.0184193195787905	515	0.388094882316253	515	0.0154912355286654	
520	0.9822	520	0.322865554433095	520	0.0177523460736287	520	0.349167461818294	520	0.0159215427576955	
525	0.98225	525	0.372880923600257	525	0.018291993608231	525	0.298182779926708	525	0.020214455999747	
530	0.9823	530	0.406555440213157	530	0.0183188823856593	530	0.259913049798702	530	0.0228196628422929	
535	0.98235	535	0.405152033982355	535	0.020450974303157	535	0.258799596851378	535	0.0238910919087327	
540	0.9824	540	0.371913273391256	540	0.0235863962053438	540	0.295048592286538	540	0.0245523806944328	
545	0.98245	545	0.312900269904428	545	0.0283708658292458	545	0.349296292027967	545	0.0232593605989389	
550	0.9825	550	0.256821240931096	550	0.0341247417823581	550	0.396096902775182	550	0.0200522615163078	
555	0.98258	555	0.236484471890582	555	0.0359689703330973	555	0.420427195434596	555	0.0210153609300504	
560	0.98266	560	0.267293912260257	560	0.036787139088962	560	0.421560540653964	560	0.022653568506691	
565	0.98274	565	0.332944327094025	565	0.0326934292344	565	0.400241647551006	565	0.0263210992576222	
570	0.98282	570	0.399579834357763	570	0.0294233813812462	570	0.35443089514993	570	0.0307320935798743	
575	0.9829	575	0.454750511999621	575	0.0265164522233451	575	0.29702079267084	575	0.0371620019922716	
580	0.98298	580	0.482067932710903	580	0.0257511405882	580	0.247179011648125	580	0.0437653508144868	
585	0.98306	585	0.485122125873654	585	0.0277069057614697	585	0.230693348059536	585	0.0468775982840358	
590	0.98314	590	0.463574829328969	590	0.0311211120027588	590	0.254836754850809	590	0.0465747764750007	
595	0.98322	595	0.416752106989342	595	0.0396258450268218	595	0.309113304530437	595	0.0436878806619461	
600	0.9833	600	0.355452821051686	600	0.0477381928948118	600	0.373283351318819	600	0.0391795312915929	
605	0.98322	605	0.288219714022468	605	0.0587283940987349	605	0.431892448518274	605	0.0356025801548547	
610	0.98314	610	0.241440705337273	610	0.0679881561386325	610	0.474167168071808	610	0.033316092524585	
615	0.98306	615	0.235798318759426	615	0.0712535114628558	615	0.503909543800043	615	0.0322886911376017	
620	0.98298	620	0.274953591851846	620	0.0707777523860298	620	0.519178930066064	620	0.0331922595616804	
625	0.9829	625	0.342398492895286	625	0.0644850811915563	625	0.522124909393926	625	0.0356617556403137	
630	0.98282	630	0.418713032786471	630	0.0576570355084786	630	0.511811751670598	630	0.0423292414731074	
635	0.98274	635	0.486642364135058	635	0.0508229588342775	635	0.486168730573737	635	0.0525635111476553	
640	0.98266	640	0.537038645150758	640	0.0460701946992866	640	0.443392871540871	640	0.0672965856485465	
645	0.98258	645	0.571167430800032	645	0.0433782974776909	645	0.386369671312083	645	0.088260547928937	
650	0.9825	650	0.591709621921929	650	0.0441661911190339	650	0.322663273986793	650	0.111471297422287	
655	0.98253	655	0.600471550707898	655	0.0482255258863424	655	0.274286367228964	655	0.135463762892159	
660	0.98256	660	0.605284544452028	660	0.05913026816873	660	0.265516988337329	660	0.163360327117486	
665	0.98259	665	0.606631860681835	665	0.0833980197396098	665	0.312042431193472	665	0.182048500401147	
670	0.98262	670	0.594726194834489	670	0.12831779278596	670	0.392883309099663	670	0.178367361678132	
675	0.98265	675	0.55979742641205	675	0.19298985860926	675	0.475520434886155	675	0.153437210693487	
680	0.98268	680	0.510675577585853	680	0.271740785405332	680	0.538704593854174	680	0.124857865233141	
685	0.98271	685	0.466079785609317	685	0.34150938353199	685	0.585675665898288	685	0.104895658703123	
690	0.98274	690	0.448007428102518	690	0.370609174460932	690	0.619999475958837	690	0.0914128142816694	
695	0.98277	695	0.464326715114026	695	0.346090260159661	695	0.641162567279164	695	0.0825192774845577	
700	0.9828	700	0.509858360632983	700	0.284821880012716	700	0.657285187471988	700	0.0805029770459883	
705	0.98277	705	0.558993084880952	705	0.218712158955979	705	0.667156059961752	705	0.0805710278287355	
