#ReRa Photor SR measurement
Wavelength [nm]	SR[A/W] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	SR[A/W] (JE813 inverted ARC_Total reflectance centre)	Wavelength [nm]	SR[A/W] (JE813 inverted ARC_Diffuse reflectance centre)	Wavelength [nm]	SR[A/W] (JE813 inverted ARC_Total reflectance edge major)	Wavelength [nm]	SR[A/W] (JE813 inverted ARC_Diffuse reflectance edge major)	
505	0.399986316641161	505	0.0479784527752206	505	0.0151255213532232	505	0.0307177333454761	505	0.0171709346304417	
510	0.403967143699455	510	0.0409463821625977	510	0.0166326691906621	510	0.039775222020897	510	0.0200210760191205	
515	0.407948374022405	515	0.0330469879017019	515	0.0192714151315319	515	0.0489571972818839	515	0.0212849479983007	
520	0.411930007610012	520	0.0351370936261777	520	0.0212423665033641	520	0.0548715421824214	520	0.0232538112916553	
525	0.415912044462276	525	0.0481345646006288	525	0.0227268737242498	525	0.0541905564914453	525	0.0251264571503212	
530	0.419894484579196	530	0.0640072560677659	530	0.0247980162011837	530	0.0482196846166554	530	0.0282774731648676	
535	0.423877327960773	535	0.0732329057119071	535	0.025692147072941	535	0.044838187268258	535	0.0330832204094672	
540	0.427860574607006	540	0.0717539843096327	540	0.0283430708034129	540	0.047496572115205	540	0.0354140442367418	
545	0.431844224517897	545	0.063265457397678	545	0.0316401291123229	545	0.0579234657775428	545	0.0380238205562532	
550	0.435828277693444	550	0.0582868653877108	550	0.0354086138882343	550	0.0714368766919927	550	0.0397667391452095	
555	0.439826162846714	555	0.0628937359655197	555	0.038378308142648	555	0.0810978844732743	555	0.0410341600329552	
560	0.443824693223436	560	0.0789268233140634	560	0.0401129863147261	560	0.0855701184202186	560	0.0438203870362402	
565	0.447823868823608	565	0.100111651467437	565	0.040820778016337	565	0.0834837524646045	565	0.0473834902235808	
570	0.45182368964723	570	0.116195411466499	570	0.0407372331270339	570	0.0787591042194685	570	0.0522005516217704	
575	0.455824155694304	575	0.124319312080375	575	0.0418527437993562	575	0.0764655934481144	575	0.057820948688118	
580	0.459825266964828	580	0.122360487540728	580	0.0437171080275707	580	0.0811776306976581	580	0.0620659466283245	
585	0.463827023458802	585	0.115404466088016	585	0.0479505564255213	585	0.09236313839766	585	0.0662529411525252	
590	0.467829425176228	590	0.105385672871859	590	0.0536257075535583	590	0.108642159383455	590	0.0683413488335592	
595	0.471832472117104	595	0.101053024724296	595	0.0594586798875568	595	0.126783208242076	595	0.0698747261691005	
600	0.47583616428143	600	0.107025301475541	600	0.0652430560397421	600	0.141272797060376	600	0.0708768134153318	
605	0.479762429631677	605	0.122787298687956	605	0.0690176307407582	605	0.151365054088894	605	0.0718283767052818	
610	0.483688049758473	610	0.146347706881724	610	0.0713967780422285	610	0.157682147004881	610	0.0755279815839592	
615	0.487613024661818	615	0.171352594194625	615	0.073068948387229	615	0.159302688243839	615	0.081288107261511	
620	0.491537354341712	620	0.195477339166193	620	0.0738432104327278	620	0.161043909487029	620	0.0911317971827477	
625	0.495461038798156	625	0.21478013028202	625	0.076108998146178	625	0.164871335491068	625	0.103517138586855	
630	0.499384078031149	630	0.22986765888947	630	0.0791065534647576	630	0.171642831584922	630	0.118466707243462	
635	0.503306472040692	635	0.239050860403644	635	0.0836220563497319	635	0.182920570143373	635	0.132340991247622	
640	0.507228220826784	640	0.243996938640304	640	0.0911048490113917	640	0.197899396352406	640	0.143241029071168	
645	0.511149324389425	645	0.249039526385617	645	0.101030281973142	645	0.218748102180275	645	0.151377395822642	
650	0.515069782728615	650	0.257651312247058	650	0.116289156233835	650	0.243347139049054	650	0.156381029381493	
655	0.519047706281381	655	0.286409357416991	655	0.140056888083275	655	0.281570908339193	655	0.167400442411452	
660	0.52302587179294	660	0.339002205440408	660	0.172970901939147	660	0.334581127086523	660	0.182478573217754	
665	0.527004279263294	665	0.393382133447274	665	0.201461056163187	665	0.380462662743764	665	0.193155527429071	
670	0.530982928692442	670	0.430016181035437	670	0.212282723746667	670	0.409429355197344	670	0.197861402952496	
675	0.534961820080383	675	0.448237283308754	675	0.207953870466575	675	0.427562163014894	675	0.202844299702298	
680	0.538940953427119	680	0.45771517967234	680	0.197287106129526	680	0.441117924539888	680	0.214511679685382	
685	0.542920328732649	685	0.462818151256397	685	0.184439916607447	685	0.453038662502993	685	0.231697932653779	
690	0.546899945996972	690	0.466600106153629	690	0.173117835022969	690	0.463040921413877	690	0.253013103082566	
695	0.55087980522009	695	0.469725515421557	695	0.164923890737505	695	0.471520111614219	695	0.27537652531891	
700	0.554859906402001	700	0.471953467244861	700	0.160401945732788	700	0.477862679661938	700	0.294991007441404	
705	0.558806133352753	705	0.47565787534542	705	0.160658538917692	705	0.483559010346455	705	0.310349371045952	
710	0.562752118344711	710	0.478612482669827	710	0.16608822261946	710	0.488804192864424	710	0.318323611762927	
