410+0i,4.47223+0i,1.99932+0i,16.0035607105-17.8828377672i
411+0i,4.48326+0i,1.98392+0i,16.1636816612-17.7888583584i
412+0i,4.49429+0i,1.96853+0i,16.3235322432-17.6942893874i
413+0i,4.50532+0i,1.95313+0i,16.4831915055-17.5989513032i
414+0i,4.5362+0i,1.94036+0i,16.8121135104-17.603722064i
415+0i,4.577+0i,1.92891+0i,17.2282352119-17.65724214i
416+0i,4.61779+0i,1.91745+0i,17.6473699816-17.708762871i
417+0i,4.65859+0i,1.906+0i,18.0696247881-17.75854508i
418+0i,4.69939+0i,1.89454+0i,18.4949845605-17.8063646612i
419+0i,4.74019+0i,1.88309+0i,18.923373288-17.8524087742i
420+0i,4.78098+0i,1.87163+0i,19.3547709035-17.8964511948i
421+0i,4.81827+0i,1.85436+0i,19.7770747833-17.8696143144i
422+0i,4.85376+0i,1.83412+0i,20.1949899632-17.8047565824i
423+0i,4.88925+0i,1.81387+0i,20.6146411856-17.736927795i
424+0i,4.92473+0i,1.79362+0i,21.0358928685-17.6661884452i
425+0i,4.96022+0i,1.77337+0i,21.4589412915-17.5926106828i
426+0i,4.99571+0i,1.75312+0i,21.8836886697-17.5161582304i
427+0i,5.0312+0i,1.73287+0i,22.3101350031-17.436831088i
428+0i,5.05222+0i,1.7011+0i,22.6311857184-17.188662884i
429+0i,5.05275+0i,1.65301+0i,22.7978405024-16.704492555i
430+0i,5.05329+0i,1.60492+0i,22.9599716177-16.2202523736i
431+0i,5.05382+0i,1.55683+0i,23.1173769435-15.7358771812i
432+0i,5.05435+0i,1.50874+0i,23.2701575349-15.251400038i
433+0i,5.05489+0i,1.46065+0i,23.4184144896-14.766850157i
434+0i,5.05542+0i,1.41256+0i,23.5619456228-14.2821681504i
435+0i,5.05595+0i,1.36447+0i,23.7008520216-13.797384193i
436+0i,5.04461+0i,1.31689+0i,23.71389078-13.2863929258i
437+0i,5.03213+0i,1.26937+0i,23.71103214-12.7752697162i
438+0i,5.01964+0i,1.22184+0i,23.703892744-12.2663938752i
439+0i,5.00716+0i,1.17431+0i,23.6926472895-11.7599161192i
440+0i,4.99467+0i,1.12679+0i,23.6770727048-11.2558884186i
441+0i,4.98219+0i,1.07926+0i,23.6574150485-10.7541567588i
442+0i,4.9697+0i,1.03174+0i,23.6334306624-10.254876556i
443+0i,4.95677+0i,0.98775+0i,23.5939187704-9.792099135i
