#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	QE[-] (JE795 inverted ARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE795 inverted ARC_Diffuse reflectance centre)	Wavelength [nm]	QE[-] (JE795 inverted ARC_Total reflectance edge major)	Wavelength [nm]	QE[-] (JE795 inverted ARC_Diffuse reflectance edge major)	
440	0.98032	440	0.0230979764822606	440	0.0056715636489259	440	0.0540975428249738	440	0.00537118743435382	
445	0.98056	445	0.0258956527071927	445	0.00611575895714569	445	0.0554242225002662	445	0.00585746571874356	
450	0.9808	450	0.0300894424434026	450	0.00732971082756654	450	0.0584051523695289	450	0.00689030089647567	
455	0.980920000000001	455	0.0330489604093998	455	0.01145002436117	455	0.0613665767003231	455	0.00787931588076297	
460	0.98104	460	0.0418533360211989	460	0.0114285440562987	460	0.0633204786797216	460	0.0115419696912631	
465	0.98116	465	0.0464876636373045	465	0.0128837537946437	465	0.0671824810482677	465	0.0129526632161803	
470	0.98128	470	0.0502271344232308	470	0.013669946809978	470	0.0750304588378913	470	0.0131960091533296	
475	0.9814	475	0.0535945873484753	475	0.0184110403814617	475	0.0820337252014811	475	0.0151330415433672	
480	0.98152	480	0.0612778694071553	480	0.0192919246075873	480	0.0863444200774824	480	0.0184658409442301	
485	0.98164	485	0.0677562791908367	485	0.0226266804170031	485	0.0873054811511293	485	0.0211019070034008	
490	0.98176	490	0.0720967297040609	490	0.0253675300689346	490	0.085954490164648	490	0.0235052457826457	
495	0.98188	495	0.072483349048898	495	0.0288549941044453	495	0.0871250989521625	495	0.0280893164907495	
500	0.982	500	0.0696375117086318	500	0.032460497063308	500	0.0908068743471704	500	0.0302250702983615	
505	0.98205	505	0.0682646290035713	505	0.0359006296932215	505	0.0967505473711534	505	0.0333376795981096	
510	0.9821	510	0.069832714455679	510	0.0410547736957889	510	0.102213627557502	510	0.0382792098563545	
515	0.98215	515	0.0761125837424283	515	0.0453967220681901	515	0.103727711209284	515	0.0417027525595159	
520	0.9822	520	0.0833686505400554	520	0.0489676057752066	520	0.103892796475327	520	0.0474098446316195	
525	0.98225	525	0.091177696666877	525	0.0548038205066097	525	0.0999015286140916	525	0.0514622503626911	
530	0.9823	530	0.0970538235543422	530	0.0589244862696162	530	0.0985295887784313	530	0.0570627601236086	
535	0.98235	535	0.0970607641855435	535	0.0641201428560286	535	0.0993982861280754	535	0.0632127862691062	
540	0.9824	540	0.0983811457633411	540	0.0706235685912001	540	0.105097735785651	540	0.0671631830196199	
545	0.98245	545	0.0985279032527192	545	0.0769464225561387	545	0.112389357766924	545	0.0730012452868438	
550	0.9825	550	0.10453428942092	550	0.0822112282458794	550	0.123016647316209	550	0.0779034244797083	
555	0.98258	555	0.111970555958048	555	0.0872942894229794	555	0.131955260251651	555	0.0826547520110034	
560	0.98266	560	0.122586282850182	560	0.0916087429194837	560	0.13942112837962	560	0.0881347959912512	
565	0.98274	565	0.13572555106064	565	0.0961972211678356	565	0.143959586091461	565	0.0934428266136633	
570	0.98282	570	0.146824896738086	570	0.100340918678368	570	0.147664874214168	570	0.0997809611516549	
575	0.9829	575	0.157053062368475	575	0.10548462462294	575	0.148892619460692	575	0.10648234897989	
580	0.98298	580	0.162919062798328	580	0.110853483516087	580	0.15142763710757	580	0.114344454473646	
585	0.98306	585	0.167403666971191	585	0.117071154632804	585	0.155825543028618	585	0.12136712428671	
590	0.98314	590	0.168563277260589	590	0.124762546087778	590	0.163038310774407	590	0.128686942182652	
595	0.98322	595	0.170796463049732	595	0.13323780714997	595	0.172330001294463	595	0.135807131379654	
600	0.9833	600	0.17350640077267	600	0.141952065276398	600	0.184400144827362	600	0.14238106212646	
605	0.98322	605	0.179277988641721	605	0.151608733658639	605	0.197646425204444	605	0.149939203460247	
610	0.98314	610	0.186684633372116	610	0.161033829543802	610	0.211213449991319	610	0.156529677519446	
615	0.98306	615	0.198220977643473	615	0.170388372595221	615	0.225515784971527	615	0.165661162892481	
620	0.98298	620	0.21396017099056	620	0.18116824211839	620	0.241092701484281	620	0.175160091300748	
625	0.9829	625	0.232308843606461	625	0.193134840340673	625	0.256436928828209	625	0.188800929383838	
630	0.98282	630	0.25415650068674	630	0.207128069311918	630	0.274787401389294	630	0.204056638203154	
635	0.98274	635	0.275694711123452	635	0.219849511843047	635	0.291026081960267	635	0.221482438561566	
640	0.98266	640	0.295022266700045	640	0.232236201224288	640	0.305922575659822	640	0.238771265502668	
645	0.98258	645	0.313717599623805	645	0.245285533540155	645	0.320341415888391	645	0.258613609155686	
650	0.9825	650	0.331675400269211	650	0.258979382914691	650	0.335217491577631	650	0.278340038130079	
655	0.98253	655	0.353776434737075	655	0.280075041675334	655	0.356196955306558	655	0.3064432648619	
660	0.98256	660	0.394317902340643	660	0.320428326702897	660	0.40244782201623	660	0.355390983767628	
