#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	QE[-] (JE794 inverted ARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE794 inverted ARC_Diffuse reflectance centre)	
630	0.98282	630	0.210318707575692	630	0.114815112480668	
635	0.98274	635	0.243654616230232	635	0.116203654613346	
640	0.98266	640	0.274879945999765	640	0.117310357689478	
645	0.98258	645	0.301511847297015	645	0.117830590158618	
650	0.9825	650	0.322347871743201	650	0.11964519697337	
655	0.98253	655	0.342144979954906	655	0.125639805450072	
660	0.98256	660	0.36748807302952	660	0.138970270924171	
665	0.98259	665	0.404455533886532	665	0.164259541734487	
670	0.98262	670	0.440093629632032	670	0.197012939067288	
675	0.98265	675	0.463252629145678	675	0.230704697360665	
680	0.98268	680	0.480792409079902	680	0.265812444780209	
685	0.98271	685	0.494472440486897	685	0.300110379983134	
690	0.98274	690	0.506865646675035	690	0.329960786685174	
695	0.98277	695	0.515612405014412	695	0.347979337310681	
700	0.9828	700	0.519408217587853	700	0.351240927007491	
705	0.98277	705	0.522826484266853	705	0.343549640715793	
710	0.98274	710	0.524902678429559	710	0.324267573463296	
715	0.98271	715	0.530386106870039	715	0.301627446915307	
720	0.98268	720	0.535033994584844	720	0.27775767662158	
725	0.98265	725	0.541852486264449	725	0.254958806950893	
730	0.98262	730	0.551163934285529	730	0.235696122628328	
735	0.98259	735	0.557212163299261	735	0.220625678536379	
740	0.98256	740	0.566684933111355	740	0.210494322425004	
745	0.98253	745	0.573648151409649	745	0.203684902020491	
750	0.9825	750	0.58133775925546	750	0.201734341051615	
755	0.98258	755	0.587819306920366	755	0.205487806035408	
760	0.98266	760	0.595153771364228	760	0.212662738457591	
765	0.98274	765	0.603651223876122	765	0.226229549353303	
770	0.98282	770	0.612228828695472	770	0.244835188620096	
775	0.9829	775	0.622851497332912	775	0.26808902620601	
780	0.98298	780	0.629494371427502	780	0.298773653406386	
785	0.98306	785	0.635008993233413	785	0.331978804382374	
790	0.98314	790	0.639634287635719	790	0.367072929421271	
795	0.98322	795	0.634471619404009	795	0.399917657097159	
800	0.9833	800	0.629813815607942	800	0.427003276276242	
805	0.9832	805	0.620062977312647	805	0.445355090872543	
810	0.9831	810	0.610542456884464	810	0.452164949954635	
815	0.983	815	0.599526690036908	815	0.449743853818193	
820	0.9829	820	0.590902262387235	820	0.432969291219176	
825	0.9828	825	0.58654139892351	825	0.409198471480716	
830	0.9827	830	0.584453713315672	830	0.380052214426259	
835	0.9826	835	0.586909111479515	835	0.348733248871979	
840	0.9825	840	0.593362065594746	840	0.316454721578134	
845	0.9824	845	0.599153411751191	845	0.290458585653819	
850	0.9823	850	0.608527181119248	850	0.265653675631282	
855	0.98232	855	0.617415661473145	855	0.245280437570393	
860	0.98234	860	0.626971428999203	860	0.227961320915632	
865	0.98236	865	0.638381007867132	865	0.214888474723541	
870	0.98238	870	0.648430338856757	870	0.204779525453447	
875	0.9824	875	0.657147752658741	875	0.195176982988341	
880	0.98242	880	0.664757269192107	880	0.190865601333927	
885	0.98244	885	0.672931376368029	885	0.188406070610665	
890	0.98246	890	0.67961160576678	890	0.186181130065354	
895	0.98248	895	0.685575860125013	895	0.187599262441543	
900	0.9825	900	0.692053856761488	900	0.190242713113227	
905	0.98257	905	0.695366916914751	905	0.194526344530402	
910	0.98264	910	0.701220535904291	910	0.202933070422247	
915	0.98271	915	0.702664335353379	915	0.213160070768667	
920	0.98278	920	0.704091170411794	920	0.227000610144531	
925	0.98285	925	0.707087562357461	925	0.241972606275464	
930	0.98292	930	0.705362562753526	930	0.261183075681522	
935	0.98299	935	0.705609645986238	935	0.28263213248506	
940	0.98306	940	0.703507804943689	940	0.307687398764127	
945	0.98313	945	0.702776246548491	945	0.340983493945796	
950	0.9832	950	0.697260506148958	950	0.368386563736349	
955	0.98316	955	0.689363570755499	955	0.397292610117706	
960	0.98312	960	0.681682991609301	960	0.425739889011629	
965	0.98308	965	0.671500735799361	965	0.451266347747505	
970	0.98304	970	0.660232877646505	970	0.470458769200957	
975	0.983	975	0.647084004589722	975	0.481314194405922	
980	0.98296	980	0.636113035150677	980	0.488536717402724	
985	0.98292	985	0.623024441665248	985	0.484213616245378	
990	0.98288	990	0.614845786714821	990	0.473125083878514	
995	0.98284	995	0.608099399289735	995	0.456141751366955	
1000	0.9828	1000	0.603485961660964	1000	0.433989080819504	
1005	0.98269	1005	0.602098209078088	1005	0.408969266991165	
