#ReRa Photor SR measurement
Wavelength [nm]	SR[A/W] (JE795 inverted noARC_Total reflectance centre)	Wavelength [nm]	SR[A/W] (JE795 inverted noARC_Diffuse reflectance centre)	Wavelength [nm]	SR[A/W] (JE795 inverted noARC_Total reflectance edge major)	Wavelength [nm]	SR[A/W] (JE795 inverted noARC_Diffuse reflectance edge major)	
1045	0.672044239149122	1045	0.372557898244074	1045	0.723608282523569	1045	0.414448655003486	
1050	0.673185749854984	1050	0.369624643028355	1050	0.72555520182862	1050	0.411333347496998	
1055	0.677150865292852	1055	0.367046239296727	1055	0.731253996824582	1055	0.411715148017395	
1060	0.684998042842743	1060	0.362940644371423	1060	0.741347043929104	1060	0.415261959058241	
1065	0.68743911602532	1065	0.359024452249345	1065	0.736062091015377	1065	0.415657937529166	
1070	0.692211167717581	1070	0.358519957457322	1070	0.744494972822424	1070	0.415855488440151	
1075	0.694557166535096	1075	0.361463578788886	1075	0.747765585859341	1075	0.419830810288019	
1080	0.701182771298053	1080	0.358936476110427	1080	0.758599516579347	1080	0.432984245391326	
1085	0.701606963055281	1085	0.358152631144868	1085	0.756974034660895	1085	0.437309885707304	
1090	0.702835354901651	1090	0.364369122074573	1090	0.76889219485254	1090	0.448912524062831	
1095	0.715416668998654	1095	0.362222173259301	1095	0.771487874519619	1095	0.45556992229842	
1100	0.711442313826073	1100	0.366582898675074	1100	0.768341480831889	1100	0.475916731011099	
