472+0i,3.67303589+0i,0.119888261+0i,13.4768194541025-0.880707770885375i
473+0i,3.66957941+0i,0.112907891+0i,13.4530648544459-0.828648944080249i
474+0i,3.66571097+0i,0.105900921+0i,13.4262219105097-0.776404335685607i
475+0i,3.66142658+0i,0.098922404+0i,13.3962589587174-0.724394238726197i
476+0i,3.65673092+0i,0.092026988+0i,13.3632120547637-0.673035864988138i
477+0i,3.65163696+0i,0.085267381+0i,13.3271819613754-0.622731039884003i
478+0i,3.6461654+0i,0.078692944+0i,13.2883295447218-0.573854979273875i
479+0i,3.6403438+0i,0.072348453+0i,13.2468686835469-0.526746484636283i
480+0i,3.63420553+0i,0.066273085+0i,13.2030577124872-0.48170002399432i
481+0i,3.62778854+0i,0.060499654+0i,13.1571894828212-0.43895990291033i
482+0i,3.62113406+0i,0.055054129+0i,13.1095809233721-0.398716763331067i
483+0i,3.61428533+0i,0.049955403+0i,13.0605629043643-0.361106160434276i
484+0i,3.60728627+0i,0.045215346+0i,13.0104698062166-0.326209393638199i
485+0i,3.60018031+0i,0.040839078+0i,12.9596304342198-0.294056088988308i
486+0i,3.59300931+0i,0.03682545+0i,12.908359787979-0.264628369389879i
487+0i,3.58581264+0i,0.033167693+0i,12.8569521933248-0.237866265598079i
488+0i,3.57862648+0i,0.02985418+0i,12.8056762112937-0.213673918173373i
489+0i,3.57148326+0i,0.026869262+0i,12.7547707192198-0.191926238883108i
490+0i,3.56441131+0i,0.024194138+0i,12.7044426305424-0.172475718245802i
491+0i,3.55743472+0i,0.021807713+0i,12.6548662107152-0.155159030779991i
492+0i,3.55057329+0i,0.01968741+0i,12.6061830935489-0.139803184190558i
493+0i,3.54384269+0i,0.017809923+0i,12.5585038181092-0.126231130866026i
494+0i,3.53725471+0i,0.016151866+0i,12.5119100006419-0.114266528167578i
495+0i,3.53081755+0i,0.014690333+0i,12.4664567655044-0.103737771143488i
496+0i,3.52453627+0i,0.013403346+0i,12.4221762688615-0.0944811582327188i
497+0i,3.51841314+0i,0.012270196+0i,12.3790804660148-0.0863432376735509i
498+0i,3.51244813+0i,0.011271684+0i,12.3371648150803-0.0791824107755019i
499+0i,3.50663929+0i,0.010390275+0i,12.2964111523571-0.0728698930978095i
500+0i,3.50098318+0i,0.009610167+0i,12.2567908713331-0.0672900660479821i
501+0i,3.49547522+0i,0.008917297+0i,12.2182674954483-0.0623403813857607i
502+0i,3.49011002+0i,0.008299291+0i,12.1807990734733-0.0579308773559916i
503+0i,3.48488165+0i,0.00774538+0i,12.1443401235954-0.053983465268554i
504+0i,3.4797839+0i,0.007246279+0i,12.1088434821399-0.0504309699982162i
505+0i,3.47481044+0i,0.006794057+0i,12.0742614347225-0.0472161203871102i
506+0i,3.46995502+0i,0.006381993+0i,12.0405471109885-0.0442904572959097i
507+0i,3.46521151+0i,0.006004432+0i,12.0076547558328-0.0416132537548246i
508+0i,3.46057407+0i,0.005656648+0i,11.9755408962898-0.0391504987838347i
509+0i,3.45603713+0i,0.005334709+0i,11.9441641848185-0.0368739047634903i
510+0i,3.45159549+0i,0.005035359+0i,11.9134860717481-0.0347600448298618i
511+0i,3.44724428+0i,0.004755905+0i,11.8834705073603-0.0327895326149468i
512+0i,3.44297898+0i,0.004494128+0i,11.8540840595354-0.0309463764748589i
513+0i,3.43879543+0i,0.00424819+0i,11.8252959622706-0.0292173127155434i
514+0i,3.4346898+0i,0.004016572+0i,11.7970778893734-0.0275913577587312i
515+0i,3.43065855+0i,0.003798008+0i,11.7694036618233-0.0260593372363368i
516+0i,3.42669845+0i,0.003591439+0i,11.7422493687983-0.0246135569091391i
517+0i,3.42280653+0i,0.003395967+0i,11.7155930092188-0.023247476046529i
518+0i,3.41898005+0i,0.003210826+0i,11.6894142728944-0.0219555000760426i
519+0i,3.4152165+0i,0.003035354+0i,11.6636945284983-0.020732782128282i
520+0i,3.41151355+0i,0.002868971+0i,11.638416470839-0.0195750668821141i
521+0i,3.40786906+0i,0.002711162+0i,11.6135641797059-0.0184785701928954i
522+0i,3.40428103+0i,0.002561463+0i,11.5891227701252-0.0174398797998938i
523+0i,3.4007476+0i,0.002419454+0i,11.5650783851481-0.0164559047676208i
524+0i,3.39726706+0i,0.002284747+0i,11.5414182568922-0.0155237914470676i
525+0i,3.39383779+0i,0.002156983+0i,11.5181302922564-0.0146409008355751i
526+0i,3.39045826+0i,0.002035826+0i,11.4952030682147-0.0138047661552455i
527+0i,3.38712705+0i,0.001920959+0i,11.4726259627582-0.0130130643816819i
528+0i,3.38384281+0i,0.001812083+0i,11.4503888791439-0.0122636080613465i
529+0i,3.38060427+0i,0.001708914+0i,11.4284823099552-0.0115543239309256i
530+0i,3.37741021+0i,0.00161118+0i,11.4068971307113-0.0108832315642956i
531+0i,3.37425949+0i,0.001518623+0i,11.3856247996392-0.0102484561389645i
532+0i,3.371151+0i,0.001430996+0i,11.3646570170514-0.009648207192792i
533+0i,3.36808372+0i,0.001348061+0i,11.3439861276606-0.00908076461533384i
534+0i,3.36505662+0i,0.001269594+0i,11.3236044439369-0.00854451138882456i
535+0i,3.36206877+0i,0.001195375+0i,11.3035049852879-0.0080378659118775i
536+0i,3.35911923+0i,0.001125198+0i,11.2836807352853-0.00755934847871508i
537+0i,3.35620713+0i,0.001058863+0i,11.264125178272-0.00710752710058638i
538+0i,3.35333162+0i,0.000996181+0i,11.2448319613152-0.00668105049308644i
539+0i,3.35049188+0i,0.000936967+0i,11.2257949600388-0.00627860065065592i
540+0i,3.34768712+0i,0.000881048+0i,11.2070082771683-0.00589894608340352i
541+0i,3.34491659+0i,0.000828257+0i,11.1884663080476-0.00554090116016726i
542+0i,3.34217954+0i,0.000778434+0i,11.1701634716351-0.00520333237608072i
543+0i,3.33947529+0i,0.000731426+0i,11.1520946775366-0.00488515810692708i
544+0i,3.33680312+0i,0.000687087+0i,11.1342545895532-0.00458534809062288i
545+0i,3.3341624+0i,0.00064528+0i,11.1166384931875-0.004302936626944i
546+0i,3.33155246+0i,0.00060587+0i,11.0992414266536-0.0040369753778804i
547+0i,3.3289727+0i,0.000568731+0i,11.0820589138903-0.0037865799452874i
548+0i,3.3264225+0i,0.000533742+0i,11.0650863636257-0.00355090279599i
549+0i,3.32390128+0i,0.000500789+0i,11.048319468396-0.00332914639621984i
550+0i,3.32140848+0i,0.000469762+0i,11.0317540703396-0.00312054298076352i
551+0i,3.31894355+0i,0.000440555+0i,11.0153860939979-0.0029243543513405i
552+0i,3.31650594+0i,0.000413071+0i,10.9992114794276-0.00273990485028348i
553+0i,3.31409514+0i,0.000387214+0i,10.9832264470369-0.00256652807107992i
554+0i,3.31171064+0i,0.000362895+0i,10.9674272313964-0.0024036064654056i
555+0i,3.30935196+0i,0.000340029+0i,10.9518102795361-0.00225055127521368i
556+0i,3.30701862+0i,0.000318534+0i,10.9363720515628-0.00210679573820616i
557+0i,3.30471014+0i,0.000298334+0i,10.9211090204156-0.00197181478981352i
558+0i,3.30242608+0i,0.000279355+0i,10.906017935825-0.0018450984751568i
559+0i,3.30016601+0i,0.000261529+0i,10.8910956251619-0.00172617823285858i
560+0i,3.29792948+0i,0.000244789+0i,10.8763387951314-0.00161459371895944i
561+0i,3.29571608+0i,0.000229073+0i,10.8617444274961-0.00150991913918768i
562+0i,3.29352541+0i,0.000214323+0i,10.8473095803813-0.00141175649289486i
563+0i,3.29135707+0i,0.000200483+0i,10.8330313220456-0.00131972227892962i
564+0i,3.28921068+0i,0.000187498+0i,10.8189068622706-0.00123344084815728i
565+0i,3.28708586+0i,0.000175321+0i,10.8049334202745-0.00115259036012212i
566+0i,3.28498224+0i,0.000163902+0i,10.7911082902516-0.00107683031820096i
567+0i,3.28289946+0i,0.000153197+0i,10.777428840999-0.00100586069714724i
568+0i,3.28083718+0i,0.000143165+0i,10.7638925811741-0.0009394021097494i
569+0i,3.27879506+0i,0.000133764+0i,10.7504970275876-0.00087716948481168i
570+0i,3.27677276+0i,0.000124958+0i,10.7372397050635-0.00081891794108816i
571+0i,3.27476996+0i,0.000116709+0i,10.7241182772974-0.00076439025452328i
572+0i,3.27278635+0i,0.000108986+0i,10.7111304808684-0.0007133757862822i
573+0i,3.27082161+0i,0.000101756+0i,10.6982739940887-0.00066565144749432i
574+0i,3.26887545+0i,9.5e-05+0i,10.6855466985877-0.0006210863355i
575+0i,3.26694757+0i,8.87e-05+0i,10.6729464172612-0.000579556498918i
576+0i,3.26503769+0i,8.27e-05+0i,10.6604711102812-0.000540037233926i
577+0i,3.26314552+0i,7.72e-05+0i,10.6481186787362-0.000503829668288i
578+0i,3.26127079+0i,7.2e-05+0i,10.6358871605232-0.00046962299376i
579+0i,3.25941323+0i,6.72e-05+0i,10.6237745993832-0.000438065138112i
580+0i,3.25757259+0i,6.26e-05+0i,10.6117791752005-0.000407848088268i
581+0i,3.2557486+0i,5.84e-05+0i,10.5998989429914-0.00038027143648i
582+0i,3.25394102+0i,5.44e-05+0i,10.5881321586793-0.000354028782976i
583+0i,3.2521496+0i,5.07e-05+0i,10.5764770182097-0.00032976796944i
584+0i,3.2503741+0i,4.73e-05+0i,10.5649317877135-0.00030748538986i
585+0i,3.24861429+0i,4.41e-05+0i,10.5534948032474-0.000286527780378i
586+0i,3.24686994+0i,4.11e-05+0i,10.5421644055864-0.000266892709068i
587+0i,3.24514083+0i,3.82e-05+0i,10.5309390050738-0.000247928759412i
588+0i,3.24342674+0i,3.56e-05+0i,10.5198170164797-0.000230931983888i
589+0i,3.24172745+0i,3.32e-05+0i,10.5087968589813-0.00021525070268i
590+0i,3.24004276+0i,3.09e-05+0i,10.4978770856736-0.000200234642568i
591+0i,3.23837246+0i,2.88e-05+0i,10.487056188857-0.000186530253696i
592+0i,3.23671634+0i,2.68e-05+0i,10.4763326649048-0.000173487995824i
593+0i,3.23507422+0i,2.49e-05+0i,10.4657052082886-0.000161106696156i
594+0i,3.23344591+0i,2.32e-05+0i,10.4551724523575-0.000150031890224i
595+0i,3.2318312+0i,2.16e-05+0i,10.4447329048269-0.00013961510784i
596+0i,3.23022992+0i,2.01e-05+0i,10.4343853356592-0.000129855242784i
