452+0i,4.05533654+0i,0.418551034+0i,16.2705694845967-3.39473060406996i
453+0i,4.04949506+0i,0.414161144+0i,16.226880787765-3.3542870133439i
454+0i,4.04371255+0i,0.409846489+0i,16.1836370424819-3.31460278228547i
455+0i,4.03798784+0i,0.405605896+0i,16.1408296531179-3.27566335176061i
456+0i,4.0323198+0i,0.401438231+0i,16.0984503161636-3.23745465467655i
457+0i,4.02670744+0i,0.397342393+0i,16.0564918300764-3.19996314024101i
458+0i,4.02114982+0i,0.393317311+0i,16.0149473677538-3.16317566866107i
459+0i,4.01564607+0i,0.38936194+0i,15.9738106391859-3.12707948833715i
460+0i,4.01019539+0i,0.385475256+0i,15.933075892989-3.09166218914054i
461+0i,4.00479705+0i,0.381656258+0i,15.8927379124181-3.05691171230488i
462+0i,3.99945036+0i,0.377903962+0i,15.8527917776088-3.02281627373265i
463+0i,3.99415471+0i,0.3742174+0i,15.8132331849524-2.98936438154791i
464+0i,3.9889095+0i,0.370595619+0i,15.7740578863683-2.95654477057496i
465+0i,3.98371419+0i,0.367037678+0i,15.7352620905357-2.9243464122265i
466+0i,3.97856831+0i,0.363542649+0i,15.6968425396943-2.89275852528971i
467+0i,3.97347138+0i,0.360109613+0i,15.6587958743041-2.86177048183675i
468+0i,3.96842299+0i,0.356737662+0i,15.6211192680713-2.8313718785593i
469+0i,3.96342275+0i,0.353425895+0i,15.583810031961-2.80155246536422i
470+0i,3.9584703+0i,0.350173422+0i,15.5468656905069-2.77230218167273i
471+0i,3.9535653+0i,0.346979356+0i,15.5102839078739-2.74361108339589i
472+0i,3.94870746+0i,0.343842819+0i,15.4740627204818-2.71546940890546i
473+0i,3.94389648+0i,0.340762938+0i,15.438200065042-2.68786750338532i
474+0i,3.93913213+0i,0.337738845+0i,15.4026944101764-2.66079587177718i
475+0i,3.93441413+0i,0.334769679+0i,15.3675438083659-2.63424511070633i
476+0i,3.9297423+0i,0.331854579+0i,15.332747082806-2.60820595308998i
477+0i,3.92511641+0i,0.328992692+0i,15.2983026406619-2.58266922827855i
478+0i,3.92053629+0i,0.326183164+0i,15.2642093447299-2.55762586329804i
479+0i,3.91600176+0i,0.323425148+0i,15.2304659579643-2.53306689759252i
480+0i,3.91151267+0i,0.320717797+0i,15.197071462258-2.50898345291998i
481+0i,3.90706887+0i,0.318060265+0i,15.1640248227512-2.4853667203309i
482+0i,3.90267023+0i,0.31545171+0i,15.1313251427863-2.46220799523919i
483+0i,3.89831664+0i,0.312891288+0i,15.0989716675946-2.43949862904286i
484+0i,3.89400797+0i,0.310378159+0i,15.0669634688393-2.41723004971985i
485+0i,3.88974412+0i,0.30791148+0i,15.0352998395588-2.395393737621i
486+0i,3.885525+0i,0.30549041+0i,15.003980135023-2.3739812506305i
487+0i,3.88135053+0i,0.303114107+0i,14.9730037748689-2.35298419970985i
488+0i,3.87722061+0i,0.300781726+0i,14.9423700119132-2.33239421431715i
489+0i,3.87313517+0i,0.298492424+0i,14.9120783179055-2.3122030107459i
490+0i,3.86909415+0i,0.296245354+0i,14.8821282317976-2.29240233225216i
491+0i,3.86509747+0i,0.294039668+0i,14.8525191262428-2.27298395373288i
492+0i,3.86114506+0i,0.291874515+0i,14.8232504418559-2.25393968346429i
493+0i,3.85723686+0i,0.289749043+0i,14.7943216862232-2.23526137761865i
494+0i,3.85337281+0i,0.287662395+0i,14.7657323593502-2.21694090270496i
495+0i,3.84955285+0i,0.285613712+0i,14.7374819524607-2.19897015805736i
496+0i,3.8457769+0i,0.283602133+0i,14.7095697947315-2.18134106376426i
497+0i,3.84204491+0i,0.281626791+0i,14.6819954410479-2.16404555776237i
498+0i,3.83835681+0i,0.279686818+0i,14.6547582847104-2.14707560507506i
499+0i,3.83471252+0i,0.277781339+0i,14.6278576387481-2.13042315697133i
500+0i,3.83111198+0i,0.27590948+0i,14.6012929621457-2.11408022844714i
501+0i,3.8275551+0i,0.27407036+0i,14.5750634813055-2.09803880835367i
502+0i,3.82404179+0i,0.272263094+0i,14.549168419312-2.0822908986614i
503+0i,3.82057196+0i,0.270486796+0i,14.5236069947279-2.06682853669568i
504+0i,3.81714552+0i,0.268740573+0i,14.4983784252797-2.05164374853837i
505+0i,3.81376235+0i,0.267023533+0i,14.4734816951017-2.03672859343876i
506+0i,3.81042234+0i,0.265334776+0i,14.4489158658161-2.02207511609859i
507+0i,3.80712536+0i,0.263673403+0i,14.4246798433055-2.0076753986376i
508+0i,3.80387128+0i,0.26203851+0i,14.4007725340858-1.99352152488599i
509+0i,3.80065993+0i,0.260429193+0i,14.377192538941-1.97960559687467i
510+0i,3.79749117+0i,0.258844544+0i,14.3539386882694-1.96591974048535i
511+0i,3.7943648+0i,0.257283655+0i,14.3310093563489-1.95245608829469i
512+0i,3.79128066+0i,0.255745617+0i,14.3084032222753-1.93920682322373i
513+0i,3.78823852+0i,0.25422952+0i,14.2861184355724-1.92616412117022i
514+0i,3.78523818+0i,0.252734455+0i,14.2641533745856-1.91332021693498i
